,Complaint Type,Sub Type,Unnamed: 0,address_street_direction,address_street_name,address_street_number,address_street_suffix,any_people_using_property_homeless_childen_gangs_,community_area,completion_date,creation_date,current_activity,if_the_building_is_open_where_is_the_entry_point_,is_the_building_currently_vacant_or_occupied_,is_the_building_dangerous_or_hazardous_,is_the_building_vacant_due_to_fire_,latitude,location,location_of_building_on_the_lot_if_garage_change_type_code_to_bgd_,longitude,most_recent_action,number_of_potholes_filled_on_block,police_district,service_request_number,service_request_type,ssa,status,street_address,type_of_service_request,ward,what_type_of_surface_is_the_graffiti_on_,x_coordinate,y_coordinate,zip_code
962179,Pot Holes Reported,Pot Hole in Street,48841,,,,,,29.0,2013-03-18T00:00:00,2013-03-09T00:00:00,Final Outcome,,,,,41.86622968584727,"{'longitude': '-87.71556579227826', 'needs_recoding': False, 'latitude': '41.86622968584727'}",,-87.71556579227827,Pothole Patched,33.0,10.0,13-00263334,,,Completed,1200 S CENTRAL PARK AVE,,24.0,,1152558.01889671,1894471.7604273998,60623.0
1098634,Pot Holes Reported,Pot Hole in Street,35296,,,,,,16.0,2013-11-11T00:00:00,2013-07-08T00:00:00,Final Outcome,,,,,41.946153347247,"{'longitude': '-87.736155542106', 'needs_recoding': False, 'latitude': '41.946153347247'}",,-87.736155542106,Pothole Patched,9.0,17.0,13-00896048,,,Completed,4323 W ADDISON ST,,30.0,,1146725.4701927,1923574.25533023,60641.0
1294280,Pot Holes Reported,Pothole in Street,30942,,,,,,56.0,2015-12-21T00:00:00,2015-12-18T00:00:00,Final Outcome,,,,,41.78672820080837,"{'longitude': '-87.78296636979658', 'needs_recoding': False, 'latitude': '41.78672820080837'}",,-87.78296636979658,Completed Upon Arrival,0.0,8.0,15-06815729,,,Completed,5800 S NAGLE AVE,,13.0,,1134384.19820119,1865389.64249796,60638.0
815928,Graffiti Removal,Sign,15928,,,,,,31.0,2016-11-16T00:00:00,2016-11-16T00:00:00,,,,,,41.85305077122453,"{'longitude': '-87.67108835865919', 'needs_recoding': False, 'latitude': '41.853050771224524'}",,-87.67108835865919,,,12.0,16-07847569,,,Completed,1801 W 21ST PL,Graffiti Removal,25.0,Metal - Painted,1164695.98986958,1889778.34177624,60608.0
765246,Graffiti Removal,Front,15246,,,,,,14.0,2016-06-16T00:00:00,2016-06-16T00:00:00,,,,,,41.96855169753071,"{'longitude': '-87.70946570769215', 'needs_recoding': False, 'latitude': '41.9685516975307'}",,-87.70946570769216,,,17.0,16-04194454,,60.0,Completed,3222 W LAWRENCE AVE,Graffiti Removal,33.0,Brick - Unpainted,1153927.42671743,1931708.16187679,60625.0
69124,Graffiti Removal,Side,19124,,,,,,66.0,2013-03-13T00:00:00,2013-02-25T00:00:00,,,,,,41.78618892440371,"{'longitude': '-87.70017123363984', 'needs_recoding': False, 'latitude': '41.78618892440371'}",,-87.70017123363985,,,8.0,13-00216994,,59.0,Completed,3043 W 59TH ST,Graffiti Removal,16.0,Brick - Unpainted,1157002.94766785,1865356.05262333,60629.0
419643,Graffiti Removal,Front,19643,,,,,,58.0,2013-11-01T00:00:00,2013-11-01T00:00:00,,,,,,41.821691875265884,"{'longitude': '-87.69161671445603', 'needs_recoding': False, 'latitude': '41.82169187526588'}",,-87.69161671445602,,,9.0,13-01641790,,,Completed,3951 S ARCHER AVE,Graffiti Removal,12.0,Brick - Painted,1159148.77878536,1878308.23389645,60632.0
1008258,Pot Holes Reported,Pot Hole in Street,44920,,,,,,10.0,2012-05-09T00:00:00,2012-05-09T00:00:00,,,,,,41.97723836181893,"{'longitude': '-87.80282415928038', 'needs_recoding': False, 'latitude': '41.97723836181892'}",,-87.80282415928038,,,16.0,12-00890466,,,Completed - Dup,7008 W BERWYN AVE,,41.0,,1128565.57242719,1934703.14788669,60656.0
284525,Graffiti Removal,Front,34525,,,,,,15.0,2011-10-31T00:00:00,2011-10-31T00:00:00,,,,,,41.94611537851724,"{'longitude': '-87.7518709915416', 'needs_recoding': False, 'latitude': '41.94611537851724'}",,-87.7518709915416,,,16.0,11-04042727,,,Completed - Dup,3601 N LAVERGNE AVE,Graffiti Removal,38.0,Limestone,1142393.5361898001,1923482.41708187,60641.0
1103302,Pot Holes Reported,Pot Hole in Street,39964,,,,,,19.0,2013-12-18T00:00:00,2013-12-16T00:00:00,,,,,,41.92373567409242,"{'longitude': '-87.7745586174171', 'needs_recoding': False, 'latitude': '41.92373567409242'}",,-87.77455861741709,,,25.0,13-01858381,,,Completed - Dup,5931 W FULLERTON AVE,,37.0,,1136324.16031852,1915334.9357055,60639.0
78317,Graffiti Removal,Side,28317,,,,,,24.0,2011-03-11T00:00:00,2011-03-04T00:00:00,,,,,,41.896120925372436,"{'longitude': '-87.67102196867252', 'needs_recoding': False, 'latitude': '41.896120925372436'}",,-87.67102196867252,,,13.0,11-00363050,,29.0,Completed,1734 W CHICAGO AVE,Graffiti Removal,1.0,Brick - Painted,1164570.72021002,1905392.46520755,60622.0
1006033,Pot Holes Reported,Pot Hole in Street,42695,,,,,,43.0,2011-05-09T00:00:00,2011-05-04T00:00:00,Dispatch Crew,,,,,41.75684183856522,"{'longitude': '-87.58206949037071', 'needs_recoding': False, 'latitude': '41.75684183856522'}",,-87.58206949037071,Pothole Patched,18.0,4.0,11-01394112,,,Completed,7603 S RIDGELAND AVE,,8.0,,1189188.41319856,1854911.63750955,60649.0
1173915,Pot Holes Reported,Pothole in Street,10577,,,,,,1.0,2014-06-06T00:00:00,2014-02-26T00:00:00,,,,,,42.00253737654576,"{'longitude': '-87.66506620528621', 'needs_recoding': False, 'latitude': '42.00253737654576'}",,-87.6650662052862,,0.0,24.0,14-00280654,,54.0,Completed - Dup,1336 W ALBION AVE,,40.0,,1166094.88990934,1944189.79419649,60626.0
384285,Graffiti Removal,Pole,34285,,,,,,59.0,2013-08-15T00:00:00,2013-08-15T00:00:00,,,,,,41.830539306388026,"{'longitude': '-87.6718439463693', 'needs_recoding': False, 'latitude': '41.83053930638802'}",,-87.67184394636931,,,9.0,13-01159020,,,Completed,1834 W 35TH ST,Graffiti Removal,11.0,Other / Unknown Surface,1164568.97977969,1881493.8730683997,60609.0
104031,Graffiti Removal,Front,4031,,,,,,23.0,2011-03-23T00:00:00,2011-03-22T00:00:00,,,,,,41.89895727406237,"{'longitude': '-87.72267290831033', 'needs_recoding': False, 'latitude': '41.89895727406237'}",,-87.72267290831034,,,11.0,11-00461591,,,Completed,958 N AVERS AVE,Graffiti Removal,27.0,Aluminum Siding,1150545.19373212,1906120.94201112,60651.0
318430,Graffiti Removal,Alley,18430,,,,,,1.0,2011-01-12T00:00:00,2010-12-16T00:00:00,,,,,,42.016420144844254,"{'longitude': '-87.67234913318234', 'needs_recoding': False, 'latitude': '42.016420144844254'}",,-87.67234913318234,,,24.0,10-02012964,,,Completed,7415 N PAULINA ST,Graffiti Removal,49.0,Brick - Unpainted,1163828.55851547,1949259.9255040002,
101802,Graffiti Removal,Garage,1802,,,,,,63.0,2013-03-26T00:00:00,2013-03-20T00:00:00,,,,,,41.800723367472905,"{'longitude': '-87.69751205288169', 'needs_recoding': False, 'latitude': '41.80072336747291'}",,-87.69751205288168,,,9.0,13-00317224,,,Completed,5105 S RICHMOND ST,Graffiti Removal,14.0,Aluminum Siding,1157572.02000098,1870655.30998544,60632.0
1462714,Sanitation Code Complaints,Garbage in yard,41934,,,,,,24.0,2015-11-12T00:00:00,2015-10-12T00:00:00,,,,,,41.89636958197501,"{'longitude': '-87.65751556350834', 'needs_recoding': False, 'latitude': '41.89636958197501'}",,-87.65751556350834,,,12.0,15-05353944,,,Completed,804 N RACINE AVE,Sanitation Code Violation,27.0,,1168244.10010954,1905551.64902361,60642.0
1338135,Pot Holes Reported,Pothole in Street,24797,,,,,,14.0,2016-09-14T00:00:00,2016-06-30T00:00:00,Final Outcome,,,,,41.9648722985095,"{'longitude': '-87.70019643847961', 'needs_recoding': False, 'latitude': '41.9648722985095'}",,-87.70019643847961,Pothole Patched,8.0,17.0,16-04571773,,,Completed,2840 W WILSON AVE,,33.0,,1156509.46000353,1930386.75138968,60625.0
33086,Graffiti Removal,Garage,33086,,,,,,15.0,2013-02-05T00:00:00,2013-01-28T00:00:00,,,,,,41.941617243683545,"{'longitude': '-87.751371472933', 'needs_recoding': False, 'latitude': '41.941617243683545'}",,-87.751371472933,,,16.0,13-00105284,,,Completed,4948 W HENDERSON ST,Graffiti Removal,38.0,Metal - Painted,1142787.36422126,1921817.25860524,60641.0
1448528,Sanitation Code Complaints,Garbage in alley,27748,,,,,,65.0,2015-03-19T00:00:00,2015-03-18T00:00:00,,,,,,41.77514860229167,"{'longitude': '-87.71398078730256', 'needs_recoding': False, 'latitude': '41.775148602291665'}",,-87.71398078730257,,,8.0,15-00814048,,,Completed,3640 W 65TH ST,Sanitation Code Violation,13.0,,1153189.64600799,1861263.20450488,60629.0
194070,Graffiti Removal,Side,44070,,,,,,58.0,2012-07-17T00:00:00,2012-07-05T00:00:00,,,,,,41.809925175454026,"{'longitude': '-87.69929446293175', 'needs_recoding': False, 'latitude': '41.809925175454026'}",,-87.69929446293175,,,9.0,12-01202567,,,Completed - Dup,4600 S SACRAMENTO AVE,Graffiti Removal,14.0,Other / Unknown Surface,1157140.95436638,1873999.12857033,60632.0
